County,State,Full Name,FIPS
Adams,Wisconsin,"Adams County, Wisconsin",55001
Alexander,Illinois,"Alexander County, Illinois",17003
Allamakee,Iowa,"Allamakee County, Iowa",19005
Androscoggin,Maine,"Androscoggin County, Maine",23001
Aroostook,Maine,"Aroostook County, Maine",23003
Ashtabula,Ohio,"Ashtabula County, Ohio",39007
Baker,Georgia,"Baker County, Georgia",13007
Barnwell,South Carolina,"Barnwell County, South Carolina",45011
Bay,Michigan,"Bay County, Michigan",26017
Beltrami,Minnesota,"Beltrami County, Minnesota",27007
Benson,North Dakota,"Benson County, North Dakota",38005
Bladen,North Carolina,"Bladen County, North Carolina",37017
Blaine,Montana,"Blaine County, Montana",30005
Blue Earth,Minnesota,"Blue Earth County, Minnesota",27013
Boone,Iowa,"Boone County, Iowa",19015
Bremer,Iowa,"Bremer County, Iowa",19017
Broome,New York,"Broome County, New York",36007
Buchanan,Iowa,"Buchanan County, Iowa",19019
Buckingham,Virginia,"Buckingham County, Virginia",51029
Buffalo,Wisconsin,"Buffalo County, Wisconsin",55011
Calhoun,Michigan,"Calhoun County, Michigan",26025
Calhoun,South Carolina,"Calhoun County, South Carolina",45017
Caroline,Virginia,"Caroline County, Virginia",51033
Carroll,Illinois,"Carroll County, Illinois",17015
Cayuga,New York,"Cayuga County, New York",36011
Cedar,Iowa,"Cedar County, Iowa",19031
Cerro Gordo,Iowa,"Cerro Gordo County, Iowa",19033
Chester,South Carolina,"Chester County, South Carolina",45023
Chickasaw,Iowa,"Chickasaw County, Iowa",19037
Chickasaw,Mississippi,"Chickasaw County, Mississippi",28017
Chippewa,Minnesota,"Chippewa County, Minnesota",27023
Clallam,Washington,"Clallam County, Washington",53009
Clarke,Iowa,"Clarke County, Iowa",19039
Clay,Minnesota,"Clay County, Minnesota",27027
Clayton,Iowa,"Clayton County, Iowa",19043
Clinton,Iowa,"Clinton County, Iowa",19045
Colfax,New Mexico,"Colfax County, New Mexico",35007
Colleton,South Carolina,"Colleton County, South Carolina",45029
Columbia,Oregon,"Columbia County, Oregon",41009
Columbia,Wisconsin,"Columbia County, Wisconsin",55021
Conejos,Colorado,"Conejos County, Colorado",8021
Coos,New Hampshire,"Coos County, New Hampshire",33007
Corson,South Dakota,"Corson County, South Dakota",46031
Cortland,New York,"Cortland County, New York",36023
Cowlitz,Washington,"Cowlitz County, Washington",53015
Crawford,Wisconsin,"Crawford County, Wisconsin",55023
Day,South Dakota,"Day County, South Dakota",46037
Delaware,Indiana,"Delaware County, Indiana",18035
Des Moines,Iowa,"Des Moines County, Iowa",19057
Dooly,Georgia,"Dooly County, Georgia",13093
Door,Wisconsin,"Door County, Wisconsin",55029
Dubuque,Iowa,"Dubuque County, Iowa",19061
Dunn,Wisconsin,"Dunn County, Wisconsin",55033
Eaton,Michigan,"Eaton County, Michigan",26045
Elliott,Kentucky,"Elliott County, Kentucky",21063
Erie,Ohio,"Erie County, Ohio",39043
Erie,Pennsylvania,"Erie County, Pennsylvania",42049
Essex,New York,"Essex County, New York",36031
Essex,Vermont,"Essex County, Vermont",50009
Essex,Virginia,"Essex County, Virginia",51057
Fayette,Iowa,"Fayette County, Iowa",19065
Fillmore,Minnesota,"Fillmore County, Minnesota",27045
Floyd,Iowa,"Floyd County, Iowa",19067
Forest,Wisconsin,"Forest County, Wisconsin",55041
